experiment,experiment_dir,model,category,gpu_name,auroc,aupr,f1,mean_latency_ms,_report_mtime_ns,_report_size
coldstart_padim_real_iad_bottle_cap,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_padim_real_iad_bottle_cap,padim,bottle_cap,NVIDIA L4,0.6214938030006523,0.7738474516689171,0.0038986354775828,3.5279778975800866,1779123341390095800,2552
coldstart_padim_real_iad_button_battery,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_padim_real_iad_button_battery,padim,button_battery,NVIDIA L4,0.7793808330955175,0.8908826757135333,0.0303605313092979,3.4891354585696326,1779123341690823800,2545
coldstart_padim_real_iad_end_cap,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_padim_real_iad_end_cap,padim,end_cap,NVIDIA L4,0.6869611158072695,0.8222885078692042,0.0797101449275362,3.495011500000312,1779123334823369200,2549
coldstart_padim_real_iad_eraser,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_padim_real_iad_eraser,padim,eraser,NVIDIA L4,0.766844609724888,0.880600986580679,0.1182795698924731,3.546455321173729,1779123335683944400,2554
coldstart_padim_real_iad_fire_hood,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_padim_real_iad_fire_hood,padim,fire_hood,NVIDIA L4,0.7036543473110637,0.8745332590329099,0.4406779661016949,3.63636308368749,1779123337529817400,2563
coldstart_padim_real_iad_mint,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_padim_real_iad_mint,padim,mint,NVIDIA L4,0.376810421555142,0.939872277684744,0.091743119266055,3.591248517739147,1779123335818364900,2555
coldstart_padim_real_iad_mounts,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_padim_real_iad_mounts,padim,mounts,NVIDIA L4,0.7005772502433891,0.8721778585880385,0.384251968503937,3.5801748140889864,1779123339047189400,2558
coldstart_padim_real_iad_pcb,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_padim_real_iad_pcb,padim,pcb,NVIDIA L4,0.7231898368231928,0.8413054548406742,0.0385356454720616,3.5217496367536074,1779123339618008000,2538
coldstart_padim_real_iad_phone_battery,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_padim_real_iad_phone_battery,padim,phone_battery,NVIDIA L4,0.5989472682880427,0.8436229154695707,0.0304761904761904,3.492352462852588,1779123338557806100,2556
coldstart_padim_real_iad_plastic_nut,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_padim_real_iad_plastic_nut,padim,plastic_nut,NVIDIA L4,0.4379702970297029,0.6777506483917788,0.1222222222222222,3.578019514249,1779123333769281700,2535
coldstart_padim_real_iad_plastic_plug,C:\Users\Usuario\Desktop\Thesis\Pipeline\Real-time-visual-defect-detection\data\outputs\Experiment 3\coldstart_padim_real_iad_plastic_plug,padim,plastic_plug,NVIDIA L4,0.6689872752129562,0.8367378246786252,0.2297297297297297,3.5527727210294966,1779123334702666000,2571
